category,value,question,answer
TV & FILM SAXOPHONISTS,800,"Series on which sheriff Jimmy Brock, played by Tom Skerritt, tooted his sax","""Picket Fences"""
SCULPTURE,1000,"Between 1919 & 1925, he made several versions of ""Bird In Space"", in marble & bronze",Constantin Brancusi
LITERATURE,1000,"In his 1938 work ""The Unvanquished"", the Sartoris family copes with the Civil War",William Faulkner
AROUND THE WORLD,1000,Each July this Swiss town plays host to a world-famous jazz festival,Montreux
POLITICIANS,1000,"This Illinois Republican served 8 terms in the House, & in 1959 became Senate Minority Leader",Everett Dirksen
ANCIENT HISTORY,1000,"Scipio Africanus the Elder was a hero of the second war against Carthage, known by this name",Second Punic War
TV & FILM SAXOPHONISTS,1000,This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,"""'Round Midnight"""
ZOOLOGY,100,"It may shock you, but this snakelike ""electric"" fish can be 8 feet long",an eel
WEAPONS,100,"Weapon with the greatest ""return"" for your money, especially if your money is an Australian dollar",the boomerang
WORLD GEOGRAPHY,100,"This narrow lake, part of Scotland's Caledonian Canal, is home to a famous monster",Loch Ness
OOPS!,100,"Due to leakage, 3 billion gal. of this natural resource stored by the gov't in a cavern is being sold for a loss",oil
THEY ALMOST STARRED IN...,100,Gale Sondergaard wanted to play the Wicked Witch in this 1939 film as a glamorous woman in a tight sequined dress,The Wizard of Oz
"LEADING ""ROLL""s",100,"Some people use spray deodorants, but many conservationists prefer this non-aerosol kind",roll-on
WEAPONS,200,"Marvin Runyon said as of Aug. 1, 1995 any of these workers bringing a gun to the job would be fired",postal workers
WORLD GEOGRAPHY,200,This longest river on Earth flows into the Mediterranean Sea,the Nile
OOPS!,200,"During ""Carmen"" in 1995, tenor Fabio Armiliato was accidentally cut by one of these long-bladed weapons",a sword
THEY ALMOST STARRED IN...,200,Walt Disney considered casting Mary Pickford as this Lewis Carroll heroine,Alice in Wonderland
"LEADING ""ROLL""s",200,"When it's time to go to sleep, campers unroll these",a bed roll
WEAPONS,300,"An encased explosive charge set on a wall or gate; you may be ""hoisted by"" your own if you're too close",a petard
WORLD GEOGRAPHY,300,Birnbaum's Travel Guide calls this volcano the terror & pride of Naples,Mount Vesuvius
OOPS!,300,"During ""Tosca"" in 1995, this accident happened to tenor Fabio Armiliato in the firing squad scene",he was shot [in the foot]
THEY ALMOST STARRED IN...,300,"Doris Day was asked to play Mrs. Robinson in this film, but she thought it would ruin her image",The Graduate
"LEADING ""ROLL""s",300,"If you have lots of dough, you can buy a really nice one of these implements to smooth out your dough",a rolling pin
WEAPONS,400,"Sometimes made of a 15' length of hollow cane, it uses the force of one's breath to propel a dart",a blow gun
WORLD GEOGRAPHY,400,The first atomic bomb was exploded in 1945 near Alamogordo in this state,New Mexico
OOPS!,400,"Leaning on a crutch offstage after the 1st act of ""Tosca"", tenor Fabio Armiliato fell & broke this",his leg
THEY ALMOST STARRED IN...,400,"If Rex Harrison hadn't accepted this role, we would have heard Christopher Plummer ""talk to the animals""",Dr. Doolittle
"LEADING ""ROLL""s",400,"In the ""Beer Barrel Polka"", this line precedes ""We'll have a barrel of fun""",roll out the barrel
WEAPONS,500,"Wayne LaPierre, an executive of this gun group, blamed the 1995 loss of 300,000 members on the dues increase",the NRA
WORLD GEOGRAPHY,500,"This continent's Polyus Nedostupnosti, the pole of inaccessibility, is Guinness' coldest place",Antarctica
OOPS!,500,In July 1995 the RCMP & the Secret Service had to rescue this former U.S. president from a Canadian peat bog,George Bush
THEY ALMOST STARRED IN...,500,"After Bette Davis turned down the role of Mildred Pierce, this rival grabbed it & won an Oscar",Joan Crawford
"LEADING ""ROLL""s",500,"Jazz great Morton, or his sweet snack",jelly roll
THE 1920s,200,Archaeological finds in 1922 included the Royal Tombs of Ur & the tomb of this boy king,Tutankhamun
THE 1995 EMMY AWARDS,200,"On winning, this ""Tonight Show"" host quipped, ""Now HBO will have to change the ending of its telefilm""",Jay Leno
FAMOUS WOMEN,200,She retired from the screen after her 1956 marriage to Prince Rainier,Grace Kelly
EXPLORERS,200,Juan de la Costa was the master of the flagship on his 1492 expedition to the New World,Columbus
BOOKS & AUTHORS,200,"TV's Captain Kirk, he reunites the Enterprise crew in a 1995 novel, ""The Ashes of Eden""",Bill Shatner
ART,400,He was just 22 when he illustrated his first Saturday Evening Post cover in 1916,Norman Rockwell
THE 1920s,400,"In 1921 this chewing gum company ""stuck"" its 30-story HQ on Michigan Avenue in Chicago",Wrigley
THE 1995 EMMY AWARDS,400,"30 years ago, this singer's 1st TV special won 5 Emmys; in 1995 her HBO special did the same",Barbra Streisand
FAMOUS WOMEN,400,1 of 2 women currently serving on the U.S. Supreme Court,Sandra Day-O'Connor [or Ruth Bader Ginsburg]
EXPLORERS,400,In 1808 this partner of Meriwether Lewis co-founded the St. Louis Missouri Fur Company,[William] Clark
BOOKS & AUTHORS,400,"""Cosette"", published in 1995, picks up where Victor Hugo left off in this 1862 classic about Jean Valjean",Les Miserables
ART,600,In 1538 Titian painted this Roman goddess of beauty reclining nude on a bed,Venus
THE 1995 EMMY AWARDS,600,"Kelsey Grammer & David Hyde Pierce won for playing brothers on this, the best comedy series",Frasier
FAMOUS WOMEN,1500,In 1993 this estranged wife of a world leader was elected president of the ANC's Women's League,Winnie Mandela
EXPLORERS,600,The Victoria was the only one of his 5 ships to complete his 1519-1522 round-the-world expedition,Magellan
BOOKS & AUTHORS,600,"In 1961 the first American edition of his ""Tropic of Cancer"" became a bestseller",[Henry] Miller
ART,800,"He painted Mademoiselle Lala hanging by her teeth in the circus, but he's more famous for his ballerinas",Edgar Degas
THE 1995 EMMY AWARDS,800,"""I've been waiting 60 years to get up on this stage"" said this former TV Martian who won for ""Picket Fences""",Ray Walston
FAMOUS WOMEN,800,"She was born in Kiev in 1898, grew up in Milwaukee & in 1969 became prime minister of Israel",Golda Meir
BOOKS & AUTHORS,2000,"""Terms of Endearment"" was his sixth novel with a Texas setting",[Larry] McMurtry
ART,1000,"This Frenchman put himself & his cousin Tapie in his 1892 painting ""At the Moulin Rouge""",Lautrec
THE 1995 EMMY AWARDS,1000,"This Puerto Rican-born actor won a posthumous Emmy for playing Chico Mendes in ""The Burning Season""",Raul Julia
FAMOUS WOMEN,1000,"Famous for her theatrics, this evangelist once gave a sermon on ""God's law"" dressed in a police uniform",Aimee Semple McPherson
EXPLORERS,1000,In December 1928 this future U.S. admiral established Little America in Antarctica,Byrd
BOOKS & AUTHORS,1000,"In 1995 this author published his long-awaited sequel to ""Forrest Gump"", called ""Gump & Co.""",Winston Groom
INSPIRATIONS,100,"He inspired Clare, a  girl from a rich & noble family of Assisi, to become a nun",Saint Francis
SCIENCE & NATURE,100,It's the largest & most economically important family of conifers,pine
THE 68th OSCARS,100,"Paul Sorvino wept with joy when this actress, his daughter won for ""Mighty Aphrodite""",Mira
SOUTHERN COOKING,100,Craig Claiborne's recipe for deep-fried catfish calls for 1/2 cup of the white kind of this meal for coating,cornmeal
GEOGRAPHY,100,The Highland Lakes are a chain of artificial lakes in & around this Texas capital,Austin
"""W""ORDS",100,"It precedes omelet, saddle & Samoa",western
INSPIRATIONS,200,The rushing of diphtheria medicine from Nenana to Nome in 1925 via this form of transport inspired a race,(Iditarod dog) sled (race)
SCIENCE & NATURE,200,This term refers specifically to a tornado that forms over a lake or ocean,waterspout
THE 68th OSCARS,200,"This Oscar host, a winner for ""Ghost"" called herself ""The Might Afro Deity""",Whoopi Goldberg
SOUTHERN COOKING,200,"It's thought the name of this Creole dish comes from jambon, French for ""ham""",jambalaya
GEOGRAPHY,200,"Peoria, Illinois is surrounded by rich deposits of this solid fuel",coal
"""W""ORDS",200,It's a synonym for revere,worship
INSPIRATIONS,300,"A battle during this war inspired ""The Star-Spangled Banner""",War of 1812
SCIENCE & NATURE,300,"This bird, ""laughing jackass"", is often heard on soundtracks to represent jungle sounds",kookaburra
THE 68th OSCARS,300,"Christine Cavanaugh, the voice of this pig, carried a jeweled handbag shaped like a pig to the Oscars",Babe
SOUTHERN COOKING,300,"An oyster dish was named for this wealthy family, perhaps because of the ""green stuff"" that tops it",Oysters Rockefeller
GEOGRAPHY,300,The city of Thon Buri was incorporated into this Thai capital in 1971,Bangkok
"""W""ORDS",300,"To sharpen a tool, or to stimulate the appetite",whet
INSPIRATIONS,400,"While Dante has inspired many writers, this woman was his love & inspiration",Beatrice
SCIENCE & NATURE,400,Nelumbo nucifera is the scientific name of this sacred flower of Buddhism,lotus
THE 68th OSCARS,400,"His ""Maverick"" co-star Jodie Foster hired a bagpiper to serenade him at Oscar night parties",Mel Gibson
SOUTHERN COOKING,400,"Benn wafers, crackers made of this seed, are a popular Charleston, South Carolina treat",sesame
GEOGRAPHY,400,The main street of Interlaken in this country affords a spectacular view of the Jungfrau peak,Switzerland
"""W""ORDS",400,"It can mean to distort, or the threads running lengthwise on a loom",warp
INSPIRATIONS,500,"Film director whose life was the inspiration for the Clint Eastwood film ""White Hunter, Black Heart""",(John) Huston
SCIENCE & NATURE,500,In 1920 Betelgeuse in this constellation became the first star whose size was measured,Orion
THE 68th OSCARS,500,"Ironically, the envelope was missing when this film from Italy won a 1995 Oscar for its musical score",Il Postino
SOUTHERN COOKING,500,"The dough for the ""beaten"" type of this quick bread needs at least 200 strokes",biscuits
GEOGRAPHY,500,The name of this bay between Brittany & Spain comes from the Spanish name vizcaya,(Bay of) Biscay
"""W""ORDS",500,"The American elk is something referred to by this Indian name meaning ""white rump""",wapiti
MEN OF NOTE,200,Korean conductor Myung-Whun Chung was named music director of this city's Opera de la Bastille in 1989,Paris
MOUNTAINS,200,In 1794 a violent eruption of this volcano destroyed the city of Torre Del Greco on the Bay of Naples,Vesuvius
U.S. PRESIDENTS,200,"He reduced U.S. troop strength in Vietnam from about 540,000 in 1969 to 25,000 in 1972",Nixon
GODS & GODDESSES,200,"He became the supreme Roman deity after he overthrew his father, Saturn",Jupiter
'80s LIT,200,"1989's ""The Russia House"" was written by this master of spy fiction",(John) le Carré
PARTS,200,"Seen curbside, its parts include a violation flag, a vault & a dome",parking meter
MEN OF NOTE,400,Tracy Marrow is the real name of this rap singer whose stage name is a tribute to the novelist Iceberg Slim,Ice-T
MOUNTAINS,400,This Sicilian volcano is also called Mongibello,Mount Etna
U.S. PRESIDENTS,400,"On March 4, 1801 he slipped out of town early to avoid Jefferson's inaugural",(John) Adams
GODS & GODDESSES,400,Dis & Orcus are alternative names for this god of the underworld,Pluto
'80s LIT,400,"In 1987 his ""The Bonfire of the Vanities"" lit up the bestseller charts",(Tom) Wolfe
PARTS,400,It's found on the head of a monarch and on the end of a watch stem,crown
MEN OF NOTE,500,"Country singer married to the actress seen <a href=""http://www.j-archive.com/media/1996-12-02_DJ_24.jpg"" target=""_blank"">here</a>:",Clint Black
MOUNTAINS,600,In the early 1860s the Bisson brothers climbed to the top of this highest peak & took photos,Mont Blanc
U.S. PRESIDENTS,600,"During this bachelor's administration, his niece Harriet Lane served as White House hostess",(James) Buchanan
GODS & GODDESSES,600,This chief goddess of Egyptian myth is often described as wearing the horns of a cow,Isis
'80s LIT,600,"This 1984 J.G. Ballard novel about WWII Shanghai, was turned into a film by Steven Spielberg",The Empire of the Sun
PARTS,600,"The ridges on a column are called fluting; on the edge of one of these, they're called milling",coin
MEN OF NOTE,800,"This composer is always good company; his 1971 musical ""Company"" was revived on Broadway in 1995",Stephen Sondheim
MOUNTAINS,800,This mountain range forms most of Georgia's northern border with Russia,Caucasus
U.S. PRESIDENTS,800,"In the Federalist No. 51, he put forth a case for the separation of powers & a system of checks & balances",James Madison
GODS & GODDESSES,800,"Persephone's mother, she was the goddess of agriculture",Ceres (or Demeter)
'80s LIT,800,"""Music for Chameleons"" is a collection of his writings",Capote
PARTS,500,"It has a bottom stop, teeth, a slide & top stops",a zipper
MEN OF NOTE,1000,"This flutist, a native of Belfast, played in the Belfast military band as a child",James Galway
MOUNTAINS,1000,The Flinders Ranges in this country extend about 300 miles from near Port Pirie to near Lake Eyre,Australia
U.S. PRESIDENTS,1000,From 1895 to 1897 he served as president of the New York City police board,Teddy Roosevelt
GODS & GODDESSES,1000,In Hinduism Vishnu is the preserver & he's the destroyer,Shiva
'80s LIT,1000,"His 1983 book ""The Anatomy Lesson"" completed his ""Zuckerman"" trilogy",(Philip) Roth
PARTS,1000,"A train doesn't have a derailleur, but this form of transportation may",bicycle
LIFE SCIENCE,100,The taste buds that sense sweetness are on the tip of this organ,the tongue
TELEVISION,100,"Michael, Jackie, Marlon, Jermaine & Tito did their own voices on the '70s cartoon show about these brothers",the Jacksons
HOLIDAYS & OBSERVANCES,100,"In 1972 the mayor of Burbank, Illinois limited trick or treating on this holiday",Halloween
